Region,Region Code,Year,Measure,Age,Value,Value Unit,Value Label,Null Reason
Bay of Plenty,Bay of Plenty Region,2006,Age in five-year groups for the census usually resident population count,35-39,17847,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2006,Age in five-year groups for the census usually resident population count,40-44,19215,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2006,Age in five-year groups for the census usually resident population count,45-49,18771,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2006,Age in five-year groups for the census usually resident population count,50-54,16539,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2006,Age in five-year groups for the census usually resident population count,55-59,15501,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2006,Age in five-year groups for the census usually resident population count,60-64,12771,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2006,Age in five-year groups for the census usually resident population count,65-*,38055,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2006,Age in five-year groups for the census usually resident population count,Total people,257379,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2013,Age in five-year groups for the census usually resident population count,0-4,18633,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2013,Age in five-year groups for the census usually resident population count,5-9,19359,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2013,Age in five-year groups for the census usually resident population count,10-14,19734,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2013,Age in five-year groups for the census usually resident population count,15-19,17373,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2013,Age in five-year groups for the census usually resident population count,20-24,14220,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2013,Age in five-year groups for the census usually resident population count,25-29,13263,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2013,Age in five-year groups for the census usually resident population count,30-34,13446,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2013,Age in five-year groups for the census usually resident population count,35-39,15645,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2013,Age in five-year groups for the census usually resident population count,40-44,18363,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2013,Age in five-year groups for the census usually resident population count,45-49,18345,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2013,Age in five-year groups for the census usually resident population count,50-54,19119,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2013,Age in five-year groups for the census usually resident population count,55-59,17421,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2013,Age in five-year groups for the census usually resident population count,60-64,15954,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2013,Age in five-year groups for the census usually resident population count,65-*,46869,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2013,Age in five-year groups for the census usually resident population count,Total people,267744,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2001,Age in broad groups for the census usually resident population count,*-14,58335,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2001,Age in broad groups for the census usually resident population count,15-64,147753,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2001,Age in broad groups for the census usually resident population count,65-*,33327,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2001,Age in broad groups for the census usually resident population count,Total people,239412,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2006,Age in broad groups for the census usually resident population count,*-14,59271,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2006,Age in broad groups for the census usually resident population count,15-64,160053,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2006,Age in broad groups for the census usually resident population count,65-*,38055,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2006,Age in broad groups for the census usually resident population count,Total people,257379,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2013,Age in broad groups for the census usually resident population count,*-14,57726,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2013,Age in broad groups for the census usually resident population count,15-64,163146,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2013,Age in broad groups for the census usually resident population count,65-*,46872,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2013,Age in broad groups for the census usually resident population count,Total people,267744,number,Number of people,
Gisborne,Gisborne Region,2001,Age in five-year groups for the census usually resident population count,0-4,3852,number,Number of people,
Gisborne,Gisborne Region,2001,Age in five-year groups for the census usually resident population count,5-9,4113,number,Number of people,
Gisborne,Gisborne Region,2001,Age in five-year groups for the census usually resident population count,10-14,4122,number,Number of people,
Gisborne,Gisborne Region,2001,Age in five-year groups for the census usually resident population count,15-19,3195,number,Number of people,
Gisborne,Gisborne Region,2001,Age in five-year groups for the census usually resident population count,20-24,2286,number,Number of people,
Gisborne,Gisborne Region,2001,Age in five-year groups for the census usually resident population count,25-29,2643,number,Number of people,
Gisborne,Gisborne Region,2001,Age in five-year groups for the census usually resident population count,30-34,2883,number,Number of people,
Gisborne,Gisborne Region,2001,Age in five-year groups for the census usually resident population count,35-39,3213,number,Number of people,
